date,open,high,low,close,Volume BTC,Volume USD,market_cap,NVT,NVRV,NVHR,NVML,NVOL,implied price,fcas,fng_value,fng_class,news_value,news_class,google_trend_bitcoin
2021-01-03,32216.51,34800.0,31977.45,33097.83,14160.5812801,468684511.90993226,573461973438.0,74.18323339,3.43360474,146085344.09831175,1.1321070767181374,59.79338776619147,5884.160777205339,900.0,93.0,Extreme Greed,0.21676666666666666,Positive Sentiment,35.51000000000001
2021-01-02,29410.77,33333.0,29050.0,32216.53,17867.8788985,575641056.5698923,544772341450.0,49.98816687,3.36183826,139613208.60028526,1.4652922499378285,67.07175712260045,9020.073297076651,900.0,94.0,Extreme Greed,-0.03423333333333333,Neutral Sentiment,18.56
2021-01-01,28999.63,29700.0,28720.0,29402.64,8781.46555456,258198270.37312803,536586839981.0,75.406404222341,3.145922773591,137764026.73355144,0.8181036330805954,48.700949237294815,5122.60979541811,900.0,94.0,Extreme Greed,0.025675,Neutral Sentiment,9.92
2020-12-31,28893.21,29300.0,27930.75,28992.79,9477.67661813,274784287.8773533,537131426250.0,58.060024605764,3.140996404211,153482070.67763954,0.8242236801126425,48.91914540833393,4929.501279874485,899.0,95.0,Extreme Greed,0.018400000000000007,Neutral Sentiment,23.04
2020-12-30,27370.0,29010.32,27328.37,28881.3,11741.7333812,339116524.30245155,500301638250.0,55.43448125,3.14848763,159029615.0943647,0.8309964180231942,47.54426016031053,4992.685436834412,898.0,91.0,Extreme Greed,0.19745000000000001,Positive Sentiment,22.08
2020-12-29,27037.9,27395.0,25831.85,27370.0,9577.27829174,262130106.84492382,497044487912.0,54.78586031,3.00690895,140537799.38571763,0.9666483664821282,51.40998978673139,3758.274410028476,897.0,91.0,Extreme Greed,0.14615,Positive Sentiment,20.48
2020-12-28,26242.82,27473.49,26079.6,27037.91,7987.77761059,215972812.13514748,501809424875.0,46.73722136,3.03336124,147934525.66917643,1.0343390042133125,53.549311887693975,6448.484827592373,898.0,92.0,Extreme Greed,0.10715,Positive Sentiment,22.08
2020-12-27,26472.89,28377.94,25770.0,26259.6,13234.33412894,347528320.4923128,493386774750.0,76.839436945383,3.033869719213,137344635.42361856,1.2516571683390847,58.864533202705545,12248.174463475225,898.0,91.0,Extreme Greed,0.21037500000000003,Positive Sentiment,23.36
2020-12-26,24714.01,26809.5,24485.32,26466.28,7491.46184626,198271126.8324341,453191199750.0,95.97971821,3.06732801,127149578.49040844,1.0310521052199078,50.99533137948821,11588.715492885425,899.0,93.0,Extreme Greed,-0.044939999999999994,Neutral Sentiment,12.6
2020-12-25,23747.22,24777.0,23403.82,24705.15,6469.22897257,159823272.15168774,436522044100.0,113.10635512,2.87742129,133646272.28188917,1.0681295864465123,51.07936006402579,7417.063460120567,899.0,94.0,Extreme Greed,-0.06382499999999999,Negative Sentiment,8.8
2020-12-24,23215.0,23779.14,22700.1,23726.28,7185.48205493,170484759.17024454,436798755250.0,66.12727778,2.77320466,116940488.24665305,0.7129363772144007,41.12146797113198,3733.6181132621705,898.0,86.0,Extreme Greed,0.08895,Positive Sentiment,8.200000000000001
2020-12-23,23819.08,24096.9,22624.92,23247.71,11541.96937133,268324356.77356216,434548776000.0,47.60188947,2.75180066,142927263.4125759,0.7960408971310327,43.525156498350384,3833.8580208987983,896.0,93.0,Extreme Greed,-0.0017749999999999988,Neutral Sentiment,8.6
2020-12-22,22750.07,23843.21,22383.59,23835.1,9367.60948339,223277908.79754895,425072206519.0,42.044728781565,2.831513764707,132718173.76280425,1.0065587675169885,48.87074649764331,7558.957712573416,896.0,88.0,Extreme Greed,0.018259999999999988,Neutral Sentiment,9.0
2020-12-21,23470.85,24123.83,21864.86,22732.01,12675.12801873,288131136.8730505,434874716086.0,59.19399414,2.76690892,126221478.78335665,1.0656450894800935,50.926326178527404,11837.508317777058,895.0,92.0,Extreme Greed,0.24735,Positive Sentiment,11.0
2020-12-20,23842.38,24298.04,23092.77,23470.85,5095.96264009,119606574.73115636,443078375031.0,100.512197013354,2.850832494921,140142965.92487437,0.775017910807312,43.292004974999465,8473.495859518835,895.0,92.0,Extreme Greed,0.28326666666666667,Positive Sentiment,9.8
2020-12-19,23142.05,24217.38,22719.78,23842.99,8672.0376961,206767308.0677353,423437293681.0,98.628582282211,2.906877174893,146639659.56785926,0.5834213275941044,36.39869207339206,3404.3480295042555,895.0,93.0,Extreme Greed,0.17915999999999999,Positive Sentiment,11.13
2020-12-18,22829.89,23284.68,22360.93,23136.14,11360.33890442,262834391.34010768,427029948412.0,44.53257595,2.82221791,145711560.75178188,0.7501516269196054,41.819991666640036,4549.391853767086,895.0,95.0,Extreme Greed,0.20042500000000002,Positive Sentiment,13.23
2020-12-17,21358.96,23777.0,21244.04,22814.24,22626.69253048,516210793.7965781,390021744797.0,52.14835121313,2.838980097189,119724785.58585908,0.6912284449606634,38.37756577868395,5223.193404635016,895.0,92.0,Extreme Greed,0.10115,Positive Sentiment,21.0
2020-12-16,19434.55,21576.76,19277.66,21365.7,14974.62184371,319943277.92615473,361049452012.0,65.30764827,2.70395115,132718173.76280425,0.6915616143608595,37.03986453127805,6697.912977385264,894.0,92.0,Extreme Greed,0.047985714285714264,Neutral Sentiment,12.18
